GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0016021	943	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1616	0	0	0	0	0	0	0	0
GO:0019622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0
GO:0051963	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1501	0	0	0	0	2	0	10	0	0	0
GO:0072629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1956
GO:0000006	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
GO:0000007	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0000002	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
GO:0000001	0	0	0	0	0	0	1	0	0	0	0	0	243	0	0	0	0	0	0	0	0	17	0	0	0	0	0
GO:0002599	0	0	0	0	0	11	0	219	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
GO:0000009	0	0	0	378	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	0	0	0
GO:0018036	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	188	0	0	5	0	0	0	0	0	0	0	26
GO:0018037	0	148	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018033	0	11	0	0	98	0	0	0	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
GO:0018030	0	14	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	2	0	98	0	0	0	0	0	0	0
GO:0097121	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	194	0	1	0	0	0	0	0	0	1
GO:0039595	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	129	0	0
GO:0039597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	151	0	0	220	1	0	0
GO:0051343	0	0	0	0	0	0	0	0	0	0	0	1	0	0	285	0	0	0	0	0	2	0	0	15	0	0	0
GO:0015254	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
